latitude,longitude,address
33.3049727,126.3163521,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38
33.305119,126.3877847,제주특별자치도 서귀포시 안덕면 산록남로762번길 113
33.305825,126.2580621,제주특별자치도 제주시 한경면 연명로 385
33.3060176,126.1791471,제주특별자치도 제주시 한경면 고산로6길 2
33.3060635,126.8064235,제주특별자치도 서귀포시 표선면 민속해안로 11
33.3070713,126.1684727,제주특별자치도 제주시 한경면 노을해안로 1203-1
33.3076432,126.4191596,제주특별자치도 서귀포시 산록남로 1241번길 145
33.307742,126.829463,제주특별자치도 서귀포시 표선면 민속해안로 292
33.3078526,126.8095428,제주특별자치도 서귀포시 표선면 민속해안로97번길 35
33.3079419,126.8124366,제주특별자치도 서귀포시 표선면 민속해안로119번길 17
33.3081774,126.1640956,제주특별자치도 제주시 한경면 노을해안로 1145
33.3101756,126.3335478,제주특별자치도 서귀포시 안덕면 신화역사로403번길 82
33.3106718,126.3496793,제주특별자치도 서귀포시 안덕면 신화역사로 581
33.3109467,126.3415912,제주특별자치도 서귀포시 안덕면 동광리827
33.3113658,126.2445664,제주특별자치도 제주시 한경면 청수서2길 96
33.3116002,126.3470908,제주특별자치도 서귀포시 안덕면 신화역사로 545-14 
33.3119188,126.6952763,제주특별자치도 서귀포시 남원읍 한남리 359-2
33.3127768,126.7439798,제주특별자치도 서귀포시 남원읍 태신로 130번길 170
33.3143895,126.3445735,제주특별자치도 서귀포시 안덕면 동광리 886
33.3150133,126.8271318,제주특별자치도 서귀포시 표선면 표선동서로 115
33.3154252,126.7433113,제주특별자치도 서귀포시 남원읍 태수로144번길 239-10
33.316097,126.6343686,제주특별자치도 서귀포시 남원읍 신례동로 338
33.3161612,126.8373534,제주특별자치도 서귀포시 표선면 표선백사로60번길 72
33.3168279,126.8288552,제주특별자치도 서귀포시 표선면 표선동서로 138
33.3180122,126.2701329,제주특별자치도 제주시 한경면 명이5길 4
33.3180833,126.2475125,제주특별자치도 제주시 한경면 대한로 1036
33.3185785,126.8336507,제주특별자치도 서귀포시 표선면 표선백사로58번길 36
33.3190016,126.3456465,제주특별자치도 서귀포시 안덕면 동광리 383
33.3191424,126.2704461,제주특별자치도 제주시 한경면 명이5길 17
33.3203989,126.7453134,제주특별자치도 서귀포시 남원읍 한신로531번길 22-3
33.3209849,126.8280898,제주특별자치도 서귀포시 표선면 표선동서로61번길 124
33.3227335,126.6390432,제주특별자치도 서귀포시 남원읍 서성로 427  백통신원 기린산장
33.3228625,126.1677282,제주특별자치도 제주시 한경면 용수1길 108
33.3237781,126.8384928,제주특별자치도 서귀포시 표선면 표선백사로110번길 17-10
33.3246937,126.164956,제주특별자치도 제주시 한경면 용수3길 45
33.3247262,126.843459,제주특별자치도 서귀포시 표선면 민속해안로 631-45
33.3247788,126.8318677,제주특별자치도 서귀포시 표선동서로233
33.3259107,126.4647634,제주특별자치도 서귀포시 대포동 산1-1
33.3262358,126.8317924,제주특별자치도 서귀포시 표선면 표선중앙로 74-1
33.3268733,126.8234679,제주특별자치도 서귀포시 표선면 표선리 2103
33.3281448,126.3795858,제주특별자치도 서귀포시 안덕면 광평리 211
33.3290994,126.8340034,제주특별자치도 서귀포시 표선면 표선중앙로43번길 25-6
33.330933,126.830525,제주특별자치도 서귀포시 표선면 표선중앙로 21
33.3342457,126.7710622,제주특별자치도 서귀포시 표선면 토산세화로35번길 16-17
33.3371769,126.2635872,제주특별자치도 제주시 한경면 저지12길 72-12
33.3374396,126.2288111,제주특별자치도 제주시 한경면 조수7길 55
33.3377476,126.3124114,제주특별자치도 제주시 한림읍 한창로 925-122
33.3382705,126.2657591,제주특별자치도 제주시 한경면 저지리 2114-68
33.3384775,126.2659442,제주특별자치도 제주시 한경면 저지리 2114-82
33.3387926,126.3956947,제주특별자치도 서귀포시 안덕면 광평로 34-154
33.3390792,126.2686755,제주특별자치도 제주시 한림읍 용금로 883-5
33.3398835,126.2920411,제주특별자치도 제주시 한림읍 금악서길133
33.3401088,126.4805166,제주특별자치도 서귀포시 영실로 246
33.3403726,126.4042502,제주특별자치도 서귀포시 안덕면 광평로 34-156
33.3413754,126.3217592,제주특별자치도 제주시 한림읍 한창로 992 
33.3417409,126.8148886,제주특별자치도 서귀포시 표선면 번영로3428번길 129
33.3426569,126.8260316,제주특별자치도 서귀포시 표선면 번영로3428번길 7
33.3457058,126.2489602,제주특별자치도 제주시 한림읍 수동7길 54-3
33.3459489,126.3219664,제주특별자치도 제주시 한림읍 산록남로 53 
33.3459489,126.3219664,제주특별자치도 제주시 한림읍 산록남로 53
33.3460917,126.1793506,제주특별자치도 제주시 한경면 한경해안로565
33.3468342,126.3885535,제주특별자치도 제주시 애월읍 화전안길 20-5
33.3475329,126.3688928,제주특별자치도 제주시 한림읍 화전길 82
33.347573,126.2807271,제주특별자치도 제주시 한림읍 조성로 128-15
33.3477809,126.8536197,제주특별자치도 서귀포시 성산읍 신천동로13번길 27
33.3480832,126.3574887,제주특별자치도 제주시 한림읍 광산로 942
33.3498642,126.1844735,제주특별자치도 제주시 한경면 신창리 233-1
33.3498928,126.3045107,제주특별자치도 제주시 한림읍 금악리 1242-8
33.3508164,126.2553796,제주특별자치도 제주시 한림읍 월림7길 2
33.35117,126.7717166,제주특별자치도 서귀포시 표선면 중산간동로 5236-7
33.3515108,126.767315,제주특별자치도 서귀포시 표선면 중산간동로5220번길 37
33.3529028,126.1856471,제주특별자치도 제주시 한경면 두모리 2962-1
33.3533014,126.2985011,제주특별자치도 제주시 한림읍 한창로 1249
33.3534662,126.2476976,제주특별자치도 제주시 한림읍 월림7길 90
33.3537114,126.2762566,제주특별자치도 제주시 한림읍 조성로 47
33.3549227,126.2430804,제주특별자치도 제주시 한림읍 월림7길 155
33.3563393,126.2964773,제주특별자치도 제주시 한림읍 한창로 1295-1
33.3568263,126.823054,제주특별자치도 서귀포시 표선면 하천리 1493-4
33.3574854,126.1830585,제주특별자치도 제주시 한경면 두모11길 52-1
33.3584744,126.2412156,제주특별자치도 제주시 한림읍 금능농공길 62-11
33.3588589,126.8643975,제주특별자치도 서귀포시 성산읍 일주동로5379
33.359774,126.2423771,제주특별자치도 제주시 한림읍 금능농공길 48-11
33.3598858,126.2948438,제주특별자치도 제주시 한림읍 금악로1길 15
33.35994,126.2711371,제주특별자치도 제주시 한림읍 상명1길 16-1
33.3608607,126.2013163,제주특별자치도 제주시 한경면 판포2길 44
33.361196,126.8354544,제주특별자치도 서귀포시 성산읍 풍천로 227 
33.3612058,126.8388507,제주특별자치도 서귀포시 성산읍 풍천로192번길 40-1
33.361283,126.3639863,제주특별자치도 제주시 애월읍 평화로 1513
33.361771,126.834439,제주특별자치도 서귀포시 성산읍 신풍상동로14번길 6 
33.362715,126.8399751,제주특별자치도 서귀포시 성산읍 신풍하동로 37
33.3627386,126.1932921,제주특별자치도 제주시 한경면 일주서로4469
33.364957,126.199338,제주특별자치도 제주시 한경면 판포1길 6
33.3656827,126.203228,제주특별자치도 제주시 한경면 판포4길 41-41
33.3658388,126.2586585,제주특별자치도 제주시 한림읍 상명리 산 6번지
33.3689843,126.8633089,제주특별자치도 서귀포시 성산읍 삼달로 47
33.369992,126.3206124,제주특별자치도 제주시 한림읍 광산로 491-1
33.3700299,126.206149,제주특별자치도 제주시 한경면 판포리 1608
33.3721685,126.8392099,제주특별자치도 서귀포시 성산읍 삼달신풍로 95-24
33.372279,126.2078406,제주특별자치도 제주시 한경면 판포리 1459-1
